0,819269
0,819245
0,819079
0,818648
0,817842
0,816570
0,814754
0,812332
0,809254
0,805486
0,801004
0,795797
0,789863
0,783212
0,775862
0,767842
0,759187
0,749940
0,740149
0,729871
0,719165
0,708097
0,696733
0,685146
0,673408
0,661595
0,649783
0,638045
0,626458
0,615094
0,604026
0,593320
0,583042
0,573251
0,564004
0,555349
0,547329
0,539979
0,533328
0,527394
0,522187
0,517705
0,513937
0,510859
0,508437
0,506621
0,505349
0,504543
0,504112
0,503946
0,503922
0,503896
0,503898
0,503741
0,503331
0,502565
0,501356
0,499630
0,497328
0,494404
0,490823
0,486564
0,481615
0,475975
0,469654
0,462670
0,455048
0,446823
0,438034
0,428730
0,418962
0,408788
0,398268
0,387469
0,376457
0,365302
0,354076
0,342850
0,331695
0,320683
0,309884
0,299364
0,289190
0,279422
0,270118
0,261329
0,253104
0,245482
0,238498
0,232177
0,226537
0,221588
0,217329
0,213748
0,210823
0,208521
0,206795
0,205586
0,204820
0,204410
